date and time (UTC),Ta [deg],I_glob_hor [W/m2]
01/01/2013 00:00:00,9.66,0.00
01/01/2013 01:00:00,9.30,0.00
01/01/2013 02:00:00,8.95,0.00
01/01/2013 03:00:00,8.59,0.00
01/01/2013 04:00:00,8.23,0.00
01/01/2013 05:00:00,7.88,0.00
01/01/2013 06:00:00,7.52,0.00
01/01/2013 07:00:00,7.16,0.00
01/01/2013 08:00:00,6.68,0.00
01/01/2013 09:00:00,6.58,28.00
01/01/2013 10:00:00,6.47,49.00
01/01/2013 11:00:00,6.36,253.00
01/01/2013 12:00:00,6.40,193.00
01/01/2013 13:00:00,6.44,109.00
01/01/2013 14:00:00,6.48,101.00
01/01/2013 15:00:00,5.93,23.00
01/01/2013 16:00:00,5.38,0.00
01/01/2013 17:00:00,4.82,0.00
01/01/2013 18:00:00,4.72,0.00
01/01/2013 19:00:00,4.62,0.00
01/01/2013 20:00:00,4.52,0.00
01/01/2013 21:00:00,4.49,0.00
01/01/2013 22:00:00,4.47,0.00
01/01/2013 23:00:00,4.44,0.00
02/01/2013 00:00:00,4.62,0.00
02/01/2013 01:00:00,4.80,0.00
02/01/2013 02:00:00,4.97,0.00
02/01/2013 03:00:00,4.80,0.00
02/01/2013 04:00:00,4.63,0.00
02/01/2013 05:00:00,4.46,0.00
02/01/2013 06:00:00,4.62,0.00
02/01/2013 07:00:00,4.78,0.00
02/01/2013 08:00:00,4.94,0.00
02/01/2013 09:00:00,5.76,107.00
02/01/2013 10:00:00,6.58,95.00
02/01/2013 11:00:00,7.40,211.00
02/01/2013 12:00:00,7.29,237.00
02/01/2013 13:00:00,7.18,83.00
02/01/2013 14:00:00,7.06,44.00
02/01/2013 15:00:00,7.01,10.00
02/01/2013 16:00:00,6.96,0.00
02/01/2013 17:00:00,6.91,0.00
02/01/2013 18:00:00,7.30,0.00
02/01/2013 19:00:00,7.69,0.00
02/01/2013 20:00:00,8.07,0.00
02/01/2013 21:00:00,8.55,0.00
02/01/2013 22:00:00,9.04,0.00
02/01/2013 23:00:00,9.52,0.00
03/01/2013 00:00:00,9.51,0.00
03/01/2013 01:00:00,9.50,0.00
03/01/2013 02:00:00,9.48,0.00
03/01/2013 03:00:00,9.68,0.00
03/01/2013 04:00:00,9.87,0.00
03/01/2013 05:00:00,10.07,0.00
03/01/2013 06:00:00,10.17,0.00
03/01/2013 07:00:00,10.26,0.00
03/01/2013 08:00:00,10.36,0.00
03/01/2013 09:00:00,10.56,54.00
03/01/2013 10:00:00,10.75,49.00
03/01/2013 11:00:00,10.94,62.00
03/01/2013 12:00:00,10.91,59.00
03/01/2013 13:00:00,10.87,47.00
03/01/2013 14:00:00,10.83,48.00
03/01/2013 15:00:00,10.68,28.00
03/01/2013 16:00:00,10.53,0.00
03/01/2013 17:00:00,10.38,0.00
03/01/2013 18:00:00,10.29,0.00
03/01/2013 19:00:00,10.21,0.00
03/01/2013 20:00:00,10.13,0.00
03/01/2013 21:00:00,10.08,0.00
03/01/2013 22:00:00,10.02,0.00
03/01/2013 23:00:00,9.97,0.00
04/01/2013 00:00:00,9.79,0.00
04/01/2013 01:00:00,9.60,0.00
04/01/2013 02:00:00,9.41,0.00
04/01/2013 03:00:00,9.36,0.00
04/01/2013 04:00:00,9.31,0.00
04/01/2013 05:00:00,9.27,0.00
04/01/2013 06:00:00,9.28,0.00
04/01/2013 07:00:00,9.28,0.00
04/01/2013 08:00:00,9.29,0.00
04/01/2013 09:00:00,9.40,34.00
04/01/2013 10:00:00,9.51,42.00
04/01/2013 11:00:00,9.61,76.00
04/01/2013 12:00:00,9.31,40.00
04/01/2013 13:00:00,9.00,31.00
04/01/2013 14:00:00,8.69,23.00
04/01/2013 15:00:00,8.48,4.00
04/01/2013 16:00:00,8.27,0.00
04/01/2013 17:00:00,8.06,0.00
04/01/2013 18:00:00,7.94,0.00
04/01/2013 19:00:00,7.82,0.00
04/01/2013 20:00:00,7.69,0.00
04/01/2013 21:00:00,7.64,0.00
04/01/2013 22:00:00,7.60,0.00
04/01/2013 23:00:00,7.55,0.00
05/01/2013 00:00:00,7.75,0.00
